Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000119589,,London,1850,Henry Colburn,"Lettice Arnold. A tale. By the author of “Emilia Wyndham,” etc. [i.e. Anne Marsh.]","ARNOLD, Lettice.","MARSH, afterwards MARSH-CALDWELL, Anne.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119589,British Library HMNTS 12624.a.7.
000119831,,London,1883,"Smith, Elder & Co.",The Matthew Arnold Birthday-Book. [Extracts from Arnold's poems.] Arranged by his daughter Eleanor Arnold. With a portrait: Selections,"Arnold, Matthew","ARNOLD, Eleanor - afterwards WODEHOUSE (Eleanor) Hon. Mrs. Armine Wodehouse, afterwards MANSFIELD (Eleanor) Baroness Sandhurst",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119831,British Library HMNTS 11612.f.5.
000120150,,London,1845,"B. Fellowes, etc.","History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan ... Republished from “The Encyclopædia Metropolitana.” [With a preface by Bonamy Price.]","ARNOLD, Thomas - D.D., Headmaster of Rugby School","PRICE, Bonamy.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000120150,British Library HMNTS 1307.g.10.|British Library HMNTS 1307.g.11.
000120481,,Stockholm,1899,,Nordens enhet och Kristian II. Med företal af A. Hedin,"ARNOLDSON, Klas Pontus.","HEDIN, Adolf.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000120481,British Library HMNTS 9431.bb.32.
000122224,[Another edition.] Now corrected and enlarged.,London,1812,J. Davis,"[Arrian's History of Alexander's Expedition. Translated from the Greek. With notes, historical, geographical, and critical by Mr. Rooke ... To which is prefix'd, Mr. Le Clerc's Criticism upon Quintus Curtius. And some remarks upon Mr. Perizonius's Vindication of that author. (Arrian's Indian History.)]: Single Works. Anabasis. English","ARRIANUS, Flavius.","ROOKE, John - Translator",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122224,British Library HMNTS 1309.e.3.(2.)
000122225,,London,1813,J. Davis,Arrian's History of the Expedition of Alexander the Great ... Translated ... by Mr. Rooke and now corrected and enlarged ... The second edition: Single Works. Anabasis. English,"ARRIANUS, Flavius.","ROOKE, John - Translator",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122225,British Library HMNTS 9027.c.17.
000122226,,London,1884,Hodder & Stoughton,"The Anabasis of Alexander ... Literally translated, with a commentary ... by E. J. Chinnock: Single Works. Anabasis. English","ARRIANUS, Flavius.","CHINNOCK, Edward James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122226,British Library HMNTS 9026.ff.18.
000122277,,Lipsiae,1842,,"Ἀρριανος. Ἀνονυμοι τρεις. Ἀγαθημερος. Τεμαχια δυο. Arriani periplus Ponti Euxini. Anonymi periplus Ponti Euxini, qui Arriano falso adscribitur. Anonymi periplus Ponti Euxini et Maeotidis Paludis. Anonymi mensura Ponti Euxini. Agathemeri hypotyposes geographiae. Fragmenta duo geographica. Graece et Latine. Additis H. Dodwelli, F. Osanni aliorumque dissertationibus, atque Stuckii, Tennulii, Vossii ... suisque notis, edidit S. F. G. Hoffmann: Single Works. Periplus Ponti Euxini. Greek","ARRIANUS, Flavius.","HOFFMANN, Samuel Friedrich Wilhelm.|OSANN, Friedrich Gotthilf.|STUCK, Johann Wilhelm.|TENNULIUS, Samuel.|VOSSIUS, Isaac.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122277,British Library HMNTS 10126.d.7.
000122281,,Paris,1860,,"Le Périple de la Mer Noire ... Traduction, étude historique et géographique, index et carte par Henry Chotard: Single Works. Periplus Ponti Euxini. French","ARRIANUS, Flavius.","CHOTARD, Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122281,British Library HMNTS 10126.d.5.
000122459,[Another edition.] Con aggiunte appendice dal 1844 in avanti ... per cura del sacerdote Don L. Arrigoni e cenno geologico della Valsassina e del territorio di Lecco dell' Abate ... A. Stoppani. 2a edizione.,Lecco,1889,,"[Notizie storiche della Valsassina e delle terre limitrofe dalla più rimota fino alla presente età, raccolte ed ordinate dall' ingegnere G. Arrigoni.]","ARRIGONI, Giuseppe.","ARRIGONI, Luigi - Sacerdote|STOPPANI, Antonio.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122459,British Library HMNTS 10136.h.8.
000122610,,London,1868,C. Whiting,Seven-Stones Light-Ship. Correspondence between Captain F. Arrow ... and Mr. Augustus Smith,"ARROW, Frederick - Sir","SMITH, Augustus John.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122610,British Library HMNTS 10497.e.51.(1.)
000122645,"A new and improved edition, by the Rev. C. G. Nicolay.",London,1856,E. P. Williams,[A Compendium of Ancient and Modern Geography ... New and improved edition.],"ARROWSMITH, Aron - the Younger","NICOLAY, Charles Grenfell.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122645,British Library HMNTS 10005.d.4.
000123451,,London,1744,A. Millar,The Art of Preserving Health: a poem. [By John Armstrong.],,"ARMSTRONG, John - Physician and Poet",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123451,British Library HMNTS 11630.c.5.(9.)|British Library HMNTS 11642.h.43.(4.)|British Library HMNTS 840.l.2.(1.)|British Library HMNTS 1485.ff.8.
000123464,,London,1728,J. Roberts,"A Supplement to the Profund. Containing several examples, very proper to illustrate the rules laid down in a late treatise, called The Art of Sinking in Poetry [i.e. “Περι Βαθους: or, Martin Scriblerus his Treatise of the Art of Sinking in Poetry,” written by Pope, and published in the “last volume” of the “Miscellanies in Prose and Verse” edited jointly by Swift and Pope]. Extracted from the poetical works of the ingenious authors of that accurate piece ... In two letters to a friend. [By Matthew Concanen, the elder.]",,"CONCANEN, Matthew - the Elder",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123464,British Library HMNTS 1077.h.60.(1.)|British Library HMNTS C.116.b.2.(4.)
000124015,,London,1876,Chapman & Hall,"Arthur; or, a Knight of our own Day. By the author of “Alice Godolphin” [i.e. Mary Neville]",,"NEVILLE, Mary.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124015,British Library HMNTS 12637.aaa.18.
000124018,,London,1818,Payne & Foss,"Arthur; or, the Pastor of the Village; a poem. [By John Leonard Knapp.]",,"KNAPP, John Leonard.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124018,British Library HMNTS 992.i.17.(7.)
000124034,,London,1886,Macmillan & Co.,"King Arthur. Not a Love Story. By the author of “John Halifax, Gentleman” [i.e. D. M. Mulock, afterwards Craik]",,"Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124034,British Library HMNTS 12623.ee.24.
000124229,,"New York, London",1885,Funk & Wagnalls,The New King Arthur. An opera without music. By the author of “The Buntling Ball” [i.e. Edgar Fawcett]: Appendix,,"FAWCETT, Edgar.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124229,British Library HMNTS 11781.e.52.
000124490,,Carlisle,[1880?],T. W. Arthur & Co.,Arthur's Guide to Carlisle ... Third edition. [By G. Tuck.],"ARTHUR, Thomas W.","TUCK, George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124490,British Library HMNTS 10358.cc.33.
000124578,Memorial edition ... revised by J. W. Kirkton.,London,[1885.],"Ward, Lock & Co.","[Ten Nights in a Bar-Room, and what I saw there.]","ARTHUR, Timothy Shay.","KIRTON, John William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124578,British Library HMNTS 12637.a.2.|British Library HMNTS 12625.g.37.
000124885,,"pp. 64. W. Cann: Plymouth, [1870?]",,,The Divine Artisan ... A poem. [By Joseph Plimsoll.],,"PLIMSOLL, Joseph.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124885,British Library HMNTS 011650.k.89.(3.)
000124931,,London,1864,Hurst & Blackett,"A Young Artist's Life. [By Alexander D. R. W. C. B. Cochrane, Baron Lamington.]",,"COCHRANE, Alexander Dundas Ross - afterwards COCHRANE-WISHART-BAILLIE (Alexander Dundas Ross) Baron Lamington",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124931,British Library HMNTS 12631.bb.13.
000126091,,London,1856,W. H. Collingridge,"Asaph; or, Faith's conflict with infidelity. [A poem. By Elizabeth Warren.]",,"WARREN, Elizabeth - Miss",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000126091,British Library HMNTS 11645.h.14.
000126092,,London,1822,"Ogle, Duncan & Co.","Asaph; or the Herrnhuttens; being a rhythmical sketch of the principal events, and most remarkable institutions in the modern history of the Church of the Unitas Fratrum, commonly called Moravians ... By one of its members [i.e. M. A. Schimmelpenninck]",,"SCHIMMELPENNINCK, Mary Anne - Mrs",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000126092,British Library HMNTS 994.l.38.
000127459,,London,1830,Payne & Foss; Baldwin & Cradock,"A Narrative by John Ashburnham of his attendance on King Charles the First from Oxford to the Scotch Army, and from Hampton-Court to the Isle of Wight: never before printed. To which is prefixed a vindication of his character and conduct, from the misrepresentations of Lord Clarendon, by his lineal descendant and present representative [i.e. George, Earl of Ashburnham]. [Edited by George, Earl of Ashburnham.]","ASHBURNHAM, John - Groom of the Bedchamber to Charles I","ASHBURNHAM, George - Earl of Ashburnham",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000127459,British Library HMNTS 601.b.3.|British Library HMNTS G.5179.
000127777,,London,1893,Elliot Stock,"St. Albans, historical & picturesque. With an account of the Roman city of Verulamium ... Illustrated by Frederic G. Kitton","ASHDOWN, Charles Henry.","KITTON, Frederic George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000127777,British Library HMNTS 10368.s.1.
000128110,,London,1860 [1859],Hurst & Blackett,"Mr. and Mrs. Asheton. By the author of “Margaret and her Bridesmaids,” etc. [i.e. Julia Cecilia Stretton.]",,"DE WINTON, afterwards STRETTON, Julia Cecilia.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000128110,British Library HMNTS 12634.e.2.
000128995,,London,[1893],C. Letts & Co.,"Charles Letts's Date Book and Chronological Diary, or record of important events in English history, etc","ASHTON, John - Antiquary","LETTS, Charles J.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000128995,British Library HMNTS 09504.g.3.|British Library HMNTS 09504.g.5.
000130629,,London,1881,J. & R. Maxwell,"Asphodel. A novel. By the author of “Lady Audley's Secret” [i.e. M. E. Braddon], etc",,"Braddon, M. E. (Mary Elizabeth)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130629,British Library HMNTS 12640.bbb.9.
000130655,,London,1805,Didier & Tebbet,"The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the ... history of the several kingdoms ... comprised in that quarter of the world, adapted to the capacities of children ... Illustrated by a ... map ... on which is described the chronological succession of the sovereigns of the various countries ... by M. Wauthier","Aspin, Jehoshaphat","WAUTHIER, J. M.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130655,British Library HMNTS 10004.d.7.
000130656,"Second edition, with ... additions, etc.",London,1806,Didier & Tebbett,"[The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the ... history of the several kingdoms ... comprised in that quarter of the world, adapted to the capacities of children ... Illustrated by a ... map ... on which is described the chronological succession of the sovereigns of the various countries ... by M. Wauthier.]","Aspin, Jehoshaphat","WAUTHIER, J. M.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130656,British Library HMNTS 1426.d.18.
000131442,,London,1831,Edward Bull,"The Assassins of the Paradise, an Oriental tale, in four cantos. By the author of Abbassah [i.e. B. E. Pote]",,"POTE, B. E.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131442,British Library HMNTS 993.h.2.|British Library HMNTS 11642.ee.13.
000131551,,Dieppe,1874,,"Les Antiquitez et chroniques de la ville de Dieppe ... Publiées pour la première fois avec une introduction et des notes historiques par MM. Michel Hardy, Guérillon et l'abbé Sauvage","ASSELINE, David.","HARDY, Michel.|SAUVAGE, Eugène Paul Marie.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131551,British Library HMNTS 10174.g.13.
000131728,,Pest,1868,,Görgei. Visszhangok a cáfolatokra,"ASSERMAN, Ferencz.","Görgey, Artúr",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131728,British Library HMNTS 9315.g.12.
000131924,Third edition.,Dorchester,1820,J. Criswick,"[The Assize Ball: or, Lucy of the moor. [In verse.]]",,"OFFLEY - Mrs., of Dorchester",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131924,British Library HMNTS 11602.f.20.(4.)
000132377,,Jenae,1801,,De Platonis Phaedro ... Accessit epistola Henr. Caroli Abr. Eichstadii,"AST, Georg Anton Friedrich.","EICHSTAEDT, Heinrich Carl Abraham.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132377,British Library HMNTS 720.g.17.
000132719,,Paris,1865,,Histoire de la République des États-Unis depuis l'établissement des prémières colonies jusqu'à l'élection du Président Lincoln ... Précédée d'une préface par M. E. Laboulaye,"ASTIÉ, Jean Frédéric.","LEFEBVRE LABOULAYE, Édouard René.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132719,British Library HMNTS 9603.cc.22.
000132894,,London,1872,,"Aston-Royal. By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson]",,"TABOR, afterwards STEPHENSON, Eliza.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132894,British Library HMNTS 12629.k.5.
000133253,,London,1744,M. Cooper,The astrologer; a comedy. [By James Ralph.],,"RALPH, James - Miscellaneous Writer",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133253,British Library HMNTS 642.h.28.(3.)|British Library HMNTS 161.c.4.
000133408,,Kristiania,1895,,"Blandt Nordpolens Naboer. Med Illustrationer af Th. Holmboe, etc","ASTRUP, Eivind.","HOLMBOE, Thorolf.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133408,British Library HMNTS 10460.f.33.
000133409,,London,1898,C. A. Pearson,With Peary near the Pole ... Translated ... by H. J. Bull. [With maps.],"ASTRUP, Eivind.","BULL, Henrik Johan.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133409,British Library HMNTS 10460.d.25.
000133732,,Edinburgh,1779.],,Atalanta. Canto 1. [Poems. By Robert Colvill.],,"COLVILL, Robert.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133732,British Library HMNTS C.108.f.5.(2.)|British Library HMNTS 1346.k.13.(3.)|British Library HMNTS 11602.h.13.(4.)|British Library HMNTS C.108.g.21.(3.)
000133917,,London,1876,Longmans & Co.,"The Atelier du Lys; or, an Art Student in the Reign of Terror. By the author of “Mademoiselle Mori” [i.e. Margaret Roberts]",,"Roberts, Margaret",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133917,British Library HMNTS 12628.d.1.
000133918,[Another edition.],London,1877 [1876],Longmans & Co.,"[The Atelier du Lys; or, an Art Student in the Reign of Terror. By the author of “Mademoiselle Mori” [i.e. Margaret Roberts].]",,"Roberts, Margaret",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133918,British Library HMNTS 12638.m.19.
000133978,,London,1836,John Hearne,"A Brief Account of the Researches and Discoveries in Upper Egypt, made under the direction of Henry Salt, Esq. ... To which is added, a detailed catalogue of Mr. Salt's collection of Egyptian antiquities, illustrated with twelve engravings ... and an enumeration of those articles purchased for the British Museum","ATHANASI, Giovanni d'.","SALT, Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133978,British Library HMNTS 790.f.26.
